"","year","week","predict","p.1","p0","p1"
"201",2013,41,"1",0.000549357090946879,0.0107607311374175,0.988689911771636
"202",2014,41,"0",0.00105774633633075,0.988522542128019,0.0104197115356502
"203",2015,41,"-1",0.997419178686765,0.00241467787610057,0.000166143437134551
"204",2016,41,"0",0.00440676471557582,0.989026174813853,0.00656706047057116
"205",2017,41,"1",0.00287931709848914,0.0507966196714291,0.946324063230082
"206",2013,42,"1",0.000285979871019502,0.00435982652592604,0.995354193603054
"207",2014,42,"0",0.0439645754831647,0.854570170426758,0.101465254090078
"208",2015,42,"-1",0.9665966628584,0.0328855871032154,0.000517750038384357
"209",2016,42,"0",0.0153804513605576,0.981696387374809,0.00292316126463297
"210",2017,42,"1",0.00173567644924814,0.0257183084762192,0.972546015074533
"211",2013,43,"1",0.000336044911197323,0.00123884324448648,0.998425111844316
"212",2014,43,"0",0.00464679320207096,0.990816711513396,0.00453649528453284
"213",2015,43,"-1",0.98748704703884,0.0119464269792504,0.000566525981909627
"214",2016,43,"-1",0.970096984787017,0.0293903418807632,0.000512673332219275
"215",2017,43,"1",0.0175604507418127,0.330662068979611,0.651777480278576
"216",2013,44,"1",0.000492252779974056,0.00877667477831993,0.990731072441706
"217",2014,44,"0",0.000323328903998124,0.999182969815937,0.000493701280065049
"218",2015,44,"-1",0.984559715975927,0.0110618843780729,0.00437839964600012
"219",2016,44,"-1",0.961517105206788,0.0325975466342189,0.00588534815899292
"220",2017,44,"0",0.0866963132915614,0.582103249103544,0.331200437604895
"221",2013,45,"1",0.000874509633842756,0.00813591210989082,0.990989578256267
"222",2014,45,"0",0.00275748268959688,0.985441442702836,0.0118010746075673
"223",2015,45,"-1",0.989675409636565,0.00977535823953443,0.00054923212390107
"224",2016,45,"0",0.00340757300267723,0.994949247339285,0.00164317965803813
"225",2017,45,"0",0.0101193838972952,0.652580444041749,0.337300172060956
"226",2013,46,"1",0.00064869481015791,0.0160631301313041,0.983288175058538
"227",2014,46,"0",0.0162044472151951,0.732112164627642,0.251683388157163
"228",2015,46,"-1",0.994396259520602,0.00528197014703225,0.000321770332366343
"229",2016,46,"0",0.0163024510525492,0.983190989509154,0.000506559438297255
"230",2017,46,"0",0.0192606179340605,0.957342574199546,0.0233968078663938
"231",2013,47,"1",0.00046498941591796,0.0187231881932,0.980811822390882
"232",2014,47,"0",0.00411950156255058,0.990992671961192,0.00488782647625698
"233",2015,47,"-1",0.979861939368466,0.0197118996778456,0.000426160953688633
"234",2016,47,"0",0.0290603987308421,0.970525968142163,0.00041363312699502
"235",2017,47,"0",0.0359189797632724,0.823579531805246,0.140501488431482
"236",2013,48,"1",0.000485222062895672,0.0293033232996486,0.970211454637456
"237",2014,48,"0",0.0104352845141194,0.985584312799638,0.0039804026862422
"238",2015,48,"-1",0.97563214918968,0.0229186414191359,0.00144920939118397
"239",2016,48,"0",0.0172932916863765,0.982210266532873,0.00049644178075098
"240",2017,48,"0",0.000851534939138705,0.529886713308234,0.469261751752627
